education_key,literacy_rate_total,literacy_rate_male,literacy_rate_female,enrollment_rate_primary_total,enrollment_rate_primary_male,enrollment_rate_primary_female,enrollment_rate_secondary_total,enrollment_rate_secondary_male,enrollment_rate_secondary_female,enrollment_rate_tertiary_total,enrollment_rate_tertiary_male,enrollment_rate_tertiary_female,public_education_spending
41,91.48423767,91.17796326,91.76496124,114.5027695,116.8506393,112.0406113,102.6035767,98.98101807,106.3849411,47.05736923,,54.13417053,5.838850021
42,91.72943115,91.36676788,92.06051636,114.8582001,117.3061905,112.3075104,101.3885269,97.30409241,105.7373962,50.17644882,,57.89120865,5.948480129
43,92.04789734,91.72515869,92.34378815,113.3699722,115.6682587,110.9740067,100.6081696,97.93479919,103.4027176,51.32004166,,58.80435181,6.24105978
44,92.80844116,92.57515717,93.02120209,114.5202789,115.9730988,112.9834213,102.0632629,99.7387619,104.5020065,50.73448944,,59.05104828,6.314040184
45,93.07582092,92.8915329,93.24371338,115.9717789,117.9199219,113.9252396,101.3137894,99.78598022,102.9063187,51.57070923,,59.72615051,6.32047987
46,93.22750092,93.00904083,93.42507172,114.476532,115.9605103,112.9145279,105.0091095,103.4190063,106.6633224,53.25735092,,61.59022903,6.088510036
47,,,,111.9657822,114.4892273,109.3679276,103.9523773,101.3035965,106.7609863,55.13629913,,64.3465271,
48,,,,,,,,,,,,,
49,,,,97.36457062,97.77118683,96.93871307,101.3911896,102.4870605,100.2343826,,,,4.765880108
50,,,,98.88063049,99.23444366,98.50982666,101.7282486,102.7323608,100.6695023,,,,
51,,,,98.96647644,99.20018768,98.72110748,101.9034882,103.0018997,100.7483673,63.60005951,53.7555,73.95900726,4.766409874
52,,,,98.01331329,98.10118103,97.92086029,102.3444366,103.5259323,101.104248,63.76739883,53.6511,74.44554138,4.62612009
53,,,,99.00879669,98.93639374,99.08512878,102.7344437,103.9080811,101.5036087,63.0657692,52.796,73.92633057,4.840579987
