quality_of_life_key,gni,hci_total,hci_male,hci_female,poverty_headcount_ratio,labor_force_total,unemployment_rate_total,unemployment_rate_male,unemployment_rate_female,access_to_drinking_water,access_to_sanitation,access_to_handwashing_facilities
66,3500,,,,,19720231,11.28999996,8.619000435,15.14099979,93.56993286,80.54541227,
67,4130,,,,,19577933,10.25,8.298000336,13.13599968,93.89940692,81.49620788,
68,4710,,,,,20142417,10.48999977,8.463999748,13.45100021,94.22320913,82.44505834,
69,5130,,,,,21482206,11.28999996,9.010000229,14.48499966,94.54142975,83.39197703,
70,5620,0.580249488,0.574842751,0.586350322,,22287035,10.97999954,8.62899971,14.18299961,94.85395872,84.33680151,
71,6310,,,,,22936897,10.10999966,7.906000137,13.09300041,95.1609052,85.27956604,66.64167117
72,7290,,,,,23642905,9.739999771,7.543000221,12.64900017,95.4625686,86.22047517,66.80586358
73,7950,,,,,23895273,9.050000191,7.066999912,11.66499996,95.75884758,87.15938051,66.96735973
74,8200,,,,,24346029,8.569999695,6.714000225,11.02000046,96.04986302,88.09633314,67.12616928
75,7330,,,,,24918312,8.300000191,6.361000061,10.84200001,96.33586812,89.03150088,67.28273004
76,6460,,,,,25273396,8.68999958,6.775000095,11.20100021,96.61696481,89.96492076,67.43704848
77,5930,0.593,0.579,0.609,,25756727,8.869999886,6.864999771,11.50199986,96.86223667,90.8964834,67.5886749
78,6260,0.598653853,0.585716128,0.612245381,,26125205,9.109999657,7.090000153,11.79100037,97.13676529,91.82623874,67.73761263
79,6570,,,,35.7,26284990,9.960000038,7.879000187,12.74800014,97.31682988,92.75423558,67.88385858
80,5790,0.604330301,0.594833314,0.614329457,42.5,24826218,15.03999996,12.22999954,19.04000092,97.49165711,93.68063058,68.02785898
81,710,,,,,446152605,5.612999916,5.493999958,5.93900013,83.13360985,28.4835452,
82,790,,,,,448878843,5.600999832,5.494999886,5.903999805,83.65179214,31.24230559,
83,910,,,,,451318662,5.572000027,5.477000237,5.852000237,84.16605196,34.01546073,
84,1000,,,,,453478308,5.414000034,5.326000214,5.681000233,84.67634135,36.80268608,
85,1120,,,,29.8,455403683,5.544000149,5.471000195,5.771999836,85.18237554,39.60301534,
86,1220,,,,,457144011,5.546000004,5.484000206,5.745999813,85.68425222,42.41651879,66.89906807
87,1360,,,,21.9,457496428,5.426000118,5.373000145,5.611000061,86.18204472,45.24319673,66.97611902
88,1480,,,,,457753613,5.414000034,5.370999813,5.571000099,86.67656079,48.08510146,67.05584145
89,1520,,,,,461045398,5.423999786,5.389999866,5.547999859,87.16750039,50.94117568,67.1380113
90,1560,,,,,464104758,5.43599987,5.412000179,5.526000023,87.65476481,53.81088813,67.22285792
91,1600,,,,,466842711,5.434999943,5.420000076,5.491000175,88.13813263,56.69339984,67.31037222
92,1680,,,,,469541836,5.422999859,5.416999817,5.447000027,88.61740577,59.58787271,67.40056273
93,1820,0.44,0.429,0.451,,471675710,5.357999802,5.359000206,5.356999874,89.09243315,62.49361923,67.49364379
94,2010,0.484795809,0.478702426,0.491595358,,473422438,5.329999924,5.337999821,5.297999859,89.56293708,65.40956223,67.58940082
95,2120,,,,,482700285,5.269999981,5.361000061,4.93200016,90.02869896,68.33481002,67.68782584
96,1920,0.493510902,0.487256885,0.500491142,,457779812,7.997000217,8.619000435,5.506999969,90.48952503,71.26847596,67.78892869
97,8050,,,,,42869547,3.559999943,3.368000031,3.90899992,93.09668937,81.27377788,
98,8690,,,,,44352857,3.569999933,3.388999939,3.890000105,93.71099729,82.07830717,
99,9250,,,,,45304973,3.630000114,3.41899991,4,94.32032157,82.87293106,
100,9780,,,,,46199021,3.869999886,3.779000044,4.028999805,94.90809059,83.65830449,
101,8820,,,,,47176107,5.360000134,5.363999844,5.354000092,95.36710258,84.43419231,
102,9040,0.589118779,0.57444185,0.604089439,,47982609,5.300000191,5.369999886,5.179999828,95.82133427,85.20102819,
103,9310,,,,,49035908,5.170000076,5.191999912,5.131999969,96.27120298,85.95971004,89.66001526
104,10050,,,,,50512846,4.889999866,4.894000053,4.883999825,96.71644433,86.70980432,89.68317442
105,10270,,,,,51318641,4.909999847,4.883999825,4.953999996,97.15725463,87.45178303,89.70633655
106,10500,,,,,51780845,4.809999943,4.788000107,4.84800005,97.5936259,88.18573213,89.72949429
107,10160,,,,,52732562,4.309999943,4.228000164,4.447000027,98.02544354,88.91148404,89.75249473
108,9390,,,,,53507498,3.859999895,3.829999924,3.910000086,98.45286453,89.62944687,89.77550185
109,8920,0.607,0.595,0.62,,54096291,3.420000076,3.312000036,3.601999998,98.87578129,90.33947554,89.79834169
110,9180,0.611657083,0.596356928,0.627252817,41.9,55190039,3.279999971,3.188999891,3.428999901,99.26913243,91.04184497,89.82111114
111,9470,,,,,56596004,3.480000019,3.457000017,3.51699996,99.47726394,91.73666093,89.84379235
112,8480,0.612949848,0.599544823,0.626666725,43.9,53080123,4.449999809,4.666999817,4.097000122,99.67956828,92.42406261,
113,740,,,,50.4,48478499,0.592999995,0.648999989,0.333000004,87.95133784,39.77526323,
114,800,,,,,49620346,0.579999983,0.638999999,0.319000006,88.10896463,41.78473453,
115,860,,,,44.1,51168119,0.400000006,0.433999985,0.252000004,88.26504152,43.77924567,51.12891228
116,920,,,,,52768362,0.419999987,0.395000011,0.523999989,88.4194668,45.75850584,51.22024391
117,950,,,,,54866420,0.540000021,0.584999979,0.363000005,88.5722364,47.72264407,51.31157723
118,970,,,,36.8,57013179,0.649999976,0.653999984,0.634000003,88.7234313,49.67213148,51.40335696
119,1030,,,,36.3,58344703,0.800000012,0.833999991,0.672999978,88.87304362,51.60705916,51.4955877
120,1120,,,,,60352931,1.847000003,1.799000025,2.025000095,89.0210575,53.52751508,54.71970112
121,1210,,,,29.5,62399603,2.950000048,2.821000099,3.421000004,89.16731289,55.43297181,57.93038961
122,1230,,,,,63499132,1.830000043,1.77699995,2.017999887,89.31195913,57.32418733,61.12845769
123,1260,,,,24.3,66473296,3.569999933,2.821000099,6.157000065,89.45498234,59.20125322,64.31381152
124,1310,,,,,67672977,3.779000044,3.244999886,5.690000057,89.59636844,61.06426149,67.48635617
125,1400,0.389,0.393,0.384,,68865484,3.915999889,3.592999935,5.118000031,89.73605141,62.91304935,70.64573818
126,1480,0.399303585,0.402245134,0.396372229,21.9,70047904,4.079999924,3.959000111,4.547999859,89.8748303,64.75166491,73.79560573
127,1410,,,,,71659613,3.542000055,3.381999969,4.162000179,90.01254307,66.57990296,76.93463978
128,1270,0.406070024,0.411048442,0.401173025,,71809320,4.302999973,4.130000114,4.986999989,90.14896508,68.39731114,80.06123049
129,46180,,,,,151976098,5.079999924,5.065999985,5.096000195,98.8536874,99.8817868,
130,47850,,,,,153855509,4.619999886,4.614999771,4.625,98.86083682,99.88154042,
131,48520,,,,,155224880,4.619999886,4.724999905,4.495999813,98.86794461,99.88129549,
132,49090,,,,,156907793,5.78000021,6.092999935,5.414000034,98.87501291,99.8810546,
133,47830,,,,,157079943,9.25,10.27600002,8.059000015,98.88203953,99.88081511,
134,49140,0.691508174,0.678875506,0.704651892,,157111093,9.630000114,10.50800037,8.609999657,98.97895208,99.86076619,
135,50630,,,,,157163170,8.949999809,9.37100029,8.461000443,99.07488707,99.84103269,
136,52780,,,,,157841889,8.069999695,8.227000237,7.887000084,99.16968809,99.82162867,
137,53980,,,,,158252925,7.369999886,7.627999783,7.068999767,99.26337949,99.80256859,
138,55800,,,,,158910317,6.170000076,6.262000084,6.061999798,99.35588121,99.78386084,
139,56640,,,,,159912569,5.28000021,5.367000103,5.177999973,99.44715776,99.7655241,
140,57130,,,,,161836238,4.869999886,4.93900013,4.789000034,99.53713865,99.74755356,
141,59240,0.762,0.726,0.757,,163395307,4.360000134,4.40199995,4.311999798,99.62581578,99.72996764,
142,63490,0.713683248,0.697446585,0.730934501,,164634753,3.900000095,3.950999975,3.84100008,99.71312112,99.71277377,
143,65970,,,,,166355636,3.670000076,3.720999956,3.611000061,99.79904438,99.69599445,
144,64530,0.701764345,0.684286594,0.720416069,,163738061,8.050000191,7.796000004,8.345000267,99.88352668,99.67961928,
