Entity,Code,Development Index
Argentina,ARG,developed
Bangladesh,BGD,underdeveloped
Brazil,BRA,developing
Canada,CAN,developed
Colombia,COL,developing
India,IND,underdeveloped
Mexico,MEX,developing
Pakistan,PAK,underdeveloped
United States,USA,developed
